id,source,service,action,description,credential_exposure,data_access,privilege_escalation,resource_exposure,expert_notes,confidence_level,labeling_date,label_quality
55,aws,AWS Private Certificate Authority,acm-pca:createpermission,grants permission create permission aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
273,aws,AWS Private Certificate Authority,acm-pca:deletepermission,grants permission delete permission aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
303,aws,AWS Private Certificate Authority,acm-pca:deletepolicy,grants permission delete policy aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
108,aws,AWS Private Certificate Authority,acm-pca:putpolicy,grants permission put policy aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
413,aws,Amazon OpenSearch Serverless,aoss:apiaccessall,grant permission supported opensearch apis,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
441,aws,Amazon OpenSearch Serverless,aoss:dashboardsaccessall,grants permission opensearch serverless dashboards,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
346,aws,Amazon API Gateway Management,apigateway:updaterestapipolicy,grants permission manage iam resource policy api additional authorization control managing api due sensitive nature resource policy,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
331,aws,AWS AppSync,appsync:getdatasource,grants permission retrieve data source,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
422,aws,AWS AppSync,appsync:getfunction,grants permission retrieve function,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
34,aws,AWS AppSync,appsync:listapikeys,grants permission list api keys given api,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
408,aws,Amazon Athena,athena:getqueryexecution,grants permission get information specified query execution,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
439,aws,Amazon Athena,athena:getqueryresults,grants permission get query results,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
42,aws,Amazon Athena,athena:getqueryresultsstream,grants permission get query results stream,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
