source,service,action,access,description,risk_category_credentialexposure,risk_category_dataaccess,risk_category_privesc,risk_category_resourceexposure
aws,AWS AppSync,appsync:ListApiKeys,List,Grants permission to list the API keys for a given API,1,0,0,0
aws,Amazon Athena,athena:GetSession,Read,Grants permission to get a session,1,0,0,0
aws,AWS Chatbot,chatbot:GetMicrosoftTeamsOauthParameters,Read,Grants permission to generate OAuth parameters to request Microsoft Teams OAuth code to be used by the AWS Chatbot service,1,0,0,0
aws,AWS Chatbot,chatbot:GetSlackOauthParameters,Read,Grants permission to generate OAuth parameters to request Slack OAuth code to be used by the AWS Chatbot service,1,0,0,0
aws,Amazon Chime,chime:CreateApiKey,Write,Grants permission to create a new SCIM access key for your Amazon Chime account and Okta configuration,1,0,0,0
aws,AWS Cloud9,cloud9:CreateEnvironmentSSH,Write,Grants permission to create an AWS Cloud9 SSH development environment,1,0,0,0
aws,AWS Cloud9,cloud9:CreateEnvironmentToken,Read,Grants permission to create an authentication token that allows a connection between the AWS Cloud9 IDE and the user's environment,1,0,0,0
aws,AWS CodeArtifact,codeartifact:GetAuthorizationToken,Read,Grants permission to generate a temporary authentication token for accessing repositories in a domain,1,0,0,0
aws,AWS CodePipeline,codepipeline:PollForJobs,Write,Grants permission to view information about any jobs for CodePipeline to act on,1,0,0,0
aws,Amazon Cognito Identity,cognito-identity:GetCredentialsForIdentity,Read,Grants permission to return credentials for the provided identity ID,1,0,0,0
aws,Amazon Cognito Identity,cognito-identity:GetOpenIdToken,Read,"Grants permission to get an OpenID token, using a known Cognito ID",1,0,0,0
aws,Amazon Cognito Identity,cognito-identity:GetOpenIdTokenForDeveloperIdentity,Read,Grants permission to register (or retrieve) a Cognito IdentityId and an OpenID Connect token for a user authenticated by your backend authentication process,1,0,0,0
aws,Amazon Cognito User Pools,cognito-idp:DescribeUserPoolClient,Read,Grants permission to describe any user pool app client,1,0,0,0
aws,Amazon Cognito User Pools,cognito-idp:GetUserAttributeVerificationCode,Read,Grants permission to get the user attribute verification code for the specified attribute name,1,0,0,0
aws,Amazon Connect,connect:GetFederationToken,Read,Grants permission to federate into an Amazon Connect instance when using SAML-based authentication for identity management,1,0,0,0
aws,Amazon Connect,connect:ListSecurityKeys,List,Grants permission to view the security keys of an existing Amazon Connect instance,1,0,0,0
aws,Amazon EC2,ec2:GetPasswordData,Read,Grants permission to retrieve the encrypted administrator password for a running Windows instance,1,0,0,0
aws,Amazon EC2 Instance Connect,ec2-instance-connect:SendSSHPublicKey,Write,Grants permission to push an SSH public key to the specified EC2 instance to be used for standard SSH,1,0,1,0
aws,Amazon Elastic Container Registry Public,ecr-public:GetAuthorizationToken,Read,Grants permission to retrieve a token that is valid for a specified registry for 12 hours,1,0,0,0
aws,Amazon Elastic Container Registry,ecr:GetAuthorizationToken,Read,Grants permission to retrieve a token that is valid for a specified registry for 12 hours,1,0,0,0
aws,Amazon GameLift,gamelift:GetComputeAuthToken,Read,Grants permission to retrieve an authorization token for a compute and fleet to use in game server processes,1,0,0,0
aws,Amazon GameLift,gamelift:GetGameSessionLogUrl,Read,Grants permission to retrieve the location of stored logs for a game session,1,0,0,0
aws,Amazon GameLift,gamelift:GetInstanceAccess,Read,Grants permission to request remote access to a specified fleet instance,1,1,0,0
aws,Amazon GameLift,gamelift:RequestUploadCredentials,Read,Grants permission to retrieve fresh upload credentials to use when uploading a new game build,1,0,0,0
aws,AWS Identity and Access Management (IAM),iam:CreateAccessKey,Write,Grants permission to create access key and secret access key for the specified IAM user,1,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateLoginProfile,Write,Grants permission to create a password for the specified IAM user,1,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateServiceSpecificCredential,Write,Grants permission to create a new service-specific credential for an IAM user,1,0,0,1
aws,AWS Identity and Access Management (IAM),iam:ResetServiceSpecificCredential,Write,Grants permission to reset the password for an existing service-specific credential for an IAM user,1,0,0,1
aws,AWS Identity and Access Management (IAM),iam:UpdateAccessKey,Write,Grants permission to update the status of the specified access key as Active or Inactive,1,0,0,1
aws,Amazon Lightsail,lightsail:DownloadDefaultKeyPair,Write,Grants permission to download the default key pair used to authenticate and connect to instances in a specific AWS Region,1,0,0,0
aws,Amazon Lightsail,lightsail:GetBucketAccessKeys,Read,Grants permission to get the existing access key IDs for the specified Amazon Lightsail bucket,1,0,0,0
aws,Amazon Lightsail,lightsail:GetKeyPair,Read,Grants permission to get information about a key pair,1,0,0,0
aws,Amazon Lightsail,lightsail:GetKeyPairs,Read,Grants permission to get information about all key pairs,1,0,0,0
aws,Amazon Lightsail,lightsail:GetRelationalDatabaseMasterUserPassword,Write,Grants permission to get the master user password of a relational database,1,0,0,1
aws,AWS Elemental MediaPackage,mediapackage:RotateChannelCredentials,Write,Grants permission to rotate credentials for the first IngestEndpoint of a Channel in AWS Elemental MediaPackage,1,0,0,0
aws,AWS Elemental MediaPackage,mediapackage:RotateIngestEndpointCredentials,Write,Grants permission to rotate IngestEndpoint credentials for a Channel in AWS Elemental MediaPackage,1,0,0,1
aws,Amazon RDS IAM Authentication,rds-db:connect,Permissions management,Allows IAM role or user to connect to RDS database,1,0,0,1
aws,Amazon Redshift,redshift:GetClusterCredentials,Write,Grants permission to get temporary credentials to access an Amazon Redshift database by the specified AWS account,1,0,0,0
aws,Amazon S3,s3:GetDataAccess,Read,Grants permission to get Access,1,0,0,0
aws,AWS Snowball,snowball:GetJobUnlockCode,Read,Grants permission to get the UnlockCode code value for the specified job,1,0,0,0
aws,AWS IAM Identity Center Directory,sso-directory:ListBearerTokens,Read,Grants permission to list bearer tokens for a given provisioning tenant,1,0,0,0
aws,AWS Storage Gateway,storagegateway:DescribeChapCredentials,Read,"Grants permission to get an array of Challenge-Handshake Authentication Protocol (CHAP) credentials information for a specified iSCSI target, one for each target-initiator pair",1,0,0,0
aws,AWS Security Token Service,sts:AssumeRole,Write,Grants permission to obtain a set of temporary security credentials that you can use to access AWS resources that you might not normally have access to,1,0,0,0
aws,AWS Security Token Service,sts:AssumeRoleWithSAML,Write,Grants permission to obtain a set of temporary security credentials for users who have been authenticated via a SAML authentication response,1,0,0,0
aws,AWS Security Token Service,sts:AssumeRoleWithWebIdentity,Write,Grants permission to obtain a set of temporary security credentials for users who have been authenticated in a mobile or web application with a web identity provider,1,0,0,0
aws,AWS Security Token Service,sts:GetFederationToken,Read,"Grants permission to obtain a set of temporary security credentials (consisting of an access key ID, a secret access key, and a security token) for a federated user",1,0,0,0
aws,AWS Security Token Service,sts:GetSessionToken,Read,"Grants permission to obtain a set of temporary security credentials (consisting of an access key ID, a secret access key, and a security token) for an AWS account or IAM user",1,0,0,0
aws,AWS WAF Regional,waf-regional:GetChangeToken,Read,"Grants permission to retrieve a change token to use in create, update, and delete requests",1,0,0,0
